# Run ID, Channel, Hs, Ts,Hmax, Tmax, Hmean, Tmean, Hrms, m0, Hm0, Tp, Tm01, Tm02, Tm_10
run1,Channel 1,0.06119589482230273,2.0006578947368427,0.0994288673601243,2.0,0.037989648088234115,1.731004366812227,0.04306061159226451,0.00024290991837775538,0.06234227052365102,2.0666666666666664,1.7907439384675066,1.6266401210025525,2.013943422741273
run1,Channel 2,0.0633896670787333,2.0027397260273974,0.10440814540071688,1.6499999999999773,0.039741041876773374,1.794318181818182,0.04472937718954607,0.000254180791712784,0.06377219352824978,2.0666666666666664,1.7968475049831776,1.6140430315892436,2.049390682154636
run1,Channel 3,0.06509136883586696,2.0102739726027377,0.10109404200706537,1.9499999999999957,0.040885153562310136,1.8197247706422017,0.045952713365874684,0.0002621484591447527,0.06476399730032144,2.0666666666666664,1.7876645845164225,1.611971812270693,2.069427256460022
run1,Channel 4,0.06558792716223072,1.9542857142857133,0.11710573350579115,2.0499999999999545,0.03366790390010394,1.2547468354430378,0.04305899061254546,0.0002887922783922712,0.06797555777098367,2.0666666666666664,1.650632117521027,1.4343946478943272,2.082202822557723
run1,Channel 5,0.0841859703088565,1.9512987012987013,0.11955975719984507,2.200000000000003,0.05051717056215057,1.7228260869565217,0.05832699073444504,0.0003125011133211335,0.07071080407645026,2.0666666666666664,1.2598631184150004,1.0377414889628285,1.901716286031126
run1,Channel 6,0.04555035665092216,1.902941176470588,0.05933691270072914,1.9499999999999886,0.0312418024650235,1.5521484374999999,0.034686693623424476,0.0001239123996283914,0.04452637863170844,2.0666666666666664,1.192689787398671,0.9020573433667268,2.66940144404469
run2,Channel 1,0.060372334782472004,2.028021978021979,0.09841685658129234,2.0,0.03816316889901781,1.8591240875912407,0.042849925818110125,0.00023494650331368352,0.06131185899170678,2.12,1.8894480471223707,1.7629413630274398,2.0695215799189364
run2,Channel 2,0.06268661974102406,2.006666666666666,0.1076324429344907,2.0,0.03976405801319709,1.8816666666666664,0.04464152576616442,0.0002509647557592037,0.06336746872131835,1.9875,1.7989279454173206,1.5249549381714549,2.0600751299021534
run2,Channel 3,0.06426422362349307,2.0188888888888883,0.1085640821796219,2.0,0.040808318808843565,1.8895910780669143,0.04579070450399011,0.00025893669617994017,0.06436604026098734,1.9875,1.8015735796980636,1.5969612962525843,2.083720155403826
run2,Channel 4,0.06319073302437334,1.9975694444444447,0.1259296174422621,2.0,0.030503071530045563,1.1734411085450345,0.04063683362260264,0.0002835838385494183,0.06735979080126876,1.9875,1.7212997928868707,1.537396350117193,2.1259576154726587
run2,Channel 5,0.08673401236550785,1.976063829787234,0.12346383046121963,1.75,0.051581022326908116,1.8071174377224197,0.05974661719762793,0.000304683901030537,0.0698207878535368,1.9875,1.2497188804624317,1.0256238836840532,1.9458227875996335
run2,Channel 6,0.04434454848392378,1.8646788990825678,0.060491911887210835,2.1999999999999886,0.0302333807740186,1.548323170731707,0.03371390863793206,0.0001143030179989476,0.042765035811783925,2.12,1.1723211075129143,0.8849291366100096,2.7298661589767783
